id_cat,name_cat,url_cat
category-5386,Poêle à granulés,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules/poele-a-granules
category-5384,Accessoires poêles à bois,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules/accessoires-poeles-a-bois
category-5355,Radiateur Electrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique
category-5393,Radiateur électrique fixe,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/radiateur-electrique-fixe
category-5392,Radiateur mobile,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/radiateur-mobile
category-5394,Sèche serviette,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/seche-serviette
category-5391,Chauffage de Chantier,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/chauffage-de-chantier
category-5395,Thermostat - accessoires,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/thermostat---accessoires
category-5417,Double technologie,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/double-technologie
category-5418,Inertie fluide,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/inertie-fluide
category-5419,Inertie sèche,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/inertie-seche
category-5350,Cheminée - Insert,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert
category-5372,Cheminée électrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert/cheminee-electrique
category-5373,Insert de cheminée,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert/insert-de-cheminee
category-5371,Cheminée à bois,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert/cheminee-a-bois
category-5370,Accessoires d'insert,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert/accessoires-d-insert
category-5354,Poêle à pétrole,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole
category-5390,Poêle à pétrole,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole/poele-a-petrole
category-5389,Poêle à gaz,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole/poele-a-gaz
category-5387,Accessoire poêles à pétrole,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole/accessoire-poeles-a-petrole
category-5388,Combustible,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole/combustible
category-5349,Chauffe-eau,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau
category-5369,Chauffe-eau électrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau/chauffe-eau-electrique
category-5368,Chauffe-eau thermodynamique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau/chauffe-eau-thermodynamique
category-5367,Accessoire Chauffe-eau,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau/accessoire-chauffe-eau
category-5356,VMC - extracteur d'air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air
category-5399,VMC simple flux,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air/vmc-simple-flux
category-5398,VMC double flux,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air/vmc-double-flux
category-5396,Bouche d'aération - extracteur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air/bouche-d-aeration---extracteur
category-5397,Distribution d'air - Grille d'aération,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air/distribution-d-air---grille-d-aeration
category-5352,Fumisterie - Tubage,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage
category-5379,Kit de raccordement,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/kit-de-raccordement
category-5382,Tubage flexible,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/tubage-flexible
category-5383,Tubage rigide,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/tubage-rigide
category-5378,Distribution d'air chaud - caisson,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/distribution-d-air-chaud---caisson
category-5380,Raccordement - Accessoires,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/raccordement---accessoires
category-5381,Sortie de toit,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/sortie-de-toit
category-5351,Climatiseur - ventilateur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur
category-5375,Climatiseur mobile,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur/climatiseur-mobile
category-5374,Climatiseur fixe,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur/climatiseur-fixe
category-5377,Ventilateur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur/ventilateur
category-5376,Déshumidificateur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur/deshumidificateur
category-5347,Accessoires de Cheminée,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee
category-5363,Range-bûches,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/range-buches
category-5358,Chenet,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/chenet
category-5359,Panier à bûches,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/panier-a-buches
category-5364,Réserve à granulés,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/reserve-a-granules
category-5360,Pare-feux,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/pare-feux
category-5362,Protection murale,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/protection-murale
category-5357,Accessoires pour foyers et poêles,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/accessoires-pour-foyers-et-poeles
