cat_product,id_cat,id_product,name_product,price_product,url_product
Machine multifonction,category-1566,B8303700,Rouleuse manuelle,377.49,https://www.centrale-brico.com/holzmann-rouleuse-manuelle-b8303700
Machine multifonction,category-1566,B8306800,Encocheuse manuelle de tubes,265.57,https://www.centrale-brico.com/holzmann-encocheuse-manuelle-de-tubes-b8306800
Machine multifonction,category-1566,B8309300,Encocheuse manuelle de tubes,253.68,https://www.centrale-brico.com/holzmann-encocheuse-manuelle-de-tubes-b8309300
Machine multifonction,category-1566,B8312600,Palan électrique - 900 W - 230 V - charge max 500 kg,164.88,https://www.centrale-brico.com/holzmann-palan-electrique-900-w-230-v-charge-max-500-kg-b8312600
Machine multifonction,category-1566,B8313300,Satineuse - 800W - 230V / 50Hz,155.98,https://www.centrale-brico.com/holzmann-satineuse-800w-230v-50hz-b8313300
Machine multifonction,category-1566,B8314800,Outils tournage,138.53,https://www.centrale-brico.com/holzmann-outils-tournage-b8314800
Machine multifonction,category-1566,B8316200,Boîtier de démarrage synchronisé 400V / 230 V,121.37,https://www.centrale-brico.com/holzmann-boitier-de-demarrage-synchronise-400v-230-v-b8316200
Machine multifonction,category-1566,B8317800,Palan électrique - 500 W - 230 V charge max - 250 kg,136.46,https://www.centrale-brico.com/holzmann-palan-electrique-500-w-230-v-charge-max-250-kg-b8317800
Machine multifonction,category-1566,B8320100,Machine à entailler les tubes - 60° - manuelle,107.18,https://www.centrale-brico.com/holzmann-machine-a-entailler-les-tubes-60-manuelle-b8320100
Machine multifonction,category-1566,B8321800,Défonceuse - 1200W - 230V / 50Hz,87.03,https://www.centrale-brico.com/holzmann-defonceuse-1200w-230v-50hz-b8321800
Machine multifonction,category-1566,B8329100,Decapeur thermique - 2000W - 230V / 50Hz,60.20,https://www.centrale-brico.com/holzmann-decapeur-thermique-2000w-230v-50hz-b8329100
Machine multifonction,category-1566,B8330300,Pistolet à souder - 200WW - 230V / 50Hz,49.27,https://www.centrale-brico.com/holzmann-pistolet-a-souder-200ww-230v-50hz-b8330300
Machine multifonction,category-1566,B8334800,Nettoyeur diamant en T pour meules,43.27,https://www.centrale-brico.com/holzmann-nettoyeur-diamant-en-t-pour-meules-b8334800
Machine multifonction,category-1566,86131,Changeur de pneus avce mâchoires en acier - 400 V,2.685.37,https://www.centrale-brico.com/zipper-changeur-de-pneus-avce-machoires-en-acier-400-v-j8352800
Machine multifonction,category-1566,86174,Plumeuse rotative de volaille - 1000 W,536.51,https://www.centrale-brico.com/zipper-plumeuse-rotative-de-volaille-1000-w-j8357100
Machine multifonction,category-1566,86175,Plumeuse rotative de volaille - 550 W,373.26,https://www.centrale-brico.com/zipper-plumeuse-rotative-de-volaille-550-w-j8357200
Machine multifonction,category-1566,86180,Plumeuse rotative de volaille - 1300 W,651.87,https://www.centrale-brico.com/zipper-plumeuse-rotative-de-volaille-1300-w-j8357700
Machine multifonction,category-1566,B8848300,"Tarière EB 2000 [2,0 PS] - 2 temps - 51,7 cm³ - 1,2 L - inclus foret 100 mm",274.75,https://www.centrale-brico.com/bergtectool-tariere-eb-2000-20-ps-2-temps-517-cm-12-l-inclus-foret-100-mm-b8848300
Machine multifonction,category-1566,B8848700,"Cisaille électrique Power - Li-ion 3,6 V - TPS 36-15",77.11,https://www.centrale-brico.com/bergtectool-cisaille-electrique-power-li-ion-36-v-tps-36-15-b8848700
Machine multifonction,category-1566,B9002500,"Outil multifonction thermique – MT 330 5-en-1 – 25,4 cm³ – débroussailleuse coupe-bordures, taille-haies, élagueuse",350.43,https://www.centrale-brico.com/stiga-outil-multifonction-thermique-mt-330-5-en-1-254-cm-debroussailleuse-coupe-bordures-taille-haies-elagueuse-b9002500
